                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.83015,                0.35664,                0.93749,                0.97197,                0.98707,                0.99036,                 0.7453,                0.92814,                0.32055,                0.98879,              0.0084952,              0.0084952,              0.0084952
                     78,                0.81509,                 0.3513,                0.93473,                0.97191,                0.98634,                0.98861,                0.74327,                0.93204,                0.32089,                0.98798,              0.0084754,              0.0084754,              0.0084754
                     79,                0.82538,                0.35314,                0.94082,                0.96907,                0.98578,                0.98918,                0.74259,                0.92869,                0.32121,                0.98756,              0.0084556,              0.0084556,              0.0084556
                     80,                0.81934,                0.35334,                0.93974,                0.97106,                0.98408,                0.98745,                0.74218,                0.93087,                0.31959,                0.98923,              0.0084358,              0.0084358,              0.0084358
                     81,                0.82073,                0.35295,                0.93673,                0.97398,                0.98576,                0.98973,                0.74297,                0.92761,                0.32008,                0.98381,               0.008416,               0.008416,               0.008416
                     82,                 0.8138,                0.34958,                0.93614,                0.96995,                0.98645,                0.99017,                0.74366,                0.92774,                0.31814,                0.98578,              0.0083962,              0.0083962,              0.0083962
                     83,                0.81507,                0.35095,                0.93876,                 0.9724,                0.98586,                0.98846,                0.74446,                0.92982,                0.32407,                0.99428,              0.0083764,              0.0083764,              0.0083764
                     84,                0.81121,                0.35115,                0.93418,                0.97095,                0.98245,                0.98955,                0.74242,                0.93164,                0.32196,                0.98527,              0.0083566,              0.0083566,              0.0083566
                     85,                0.81356,                0.34652,                0.93785,                0.97376,                0.98653,                0.99017,                0.74523,                 0.9262,                0.31711,                0.98936,              0.0083368,              0.0083368,              0.0083368
                     86,                 0.8142,                0.35744,                0.94207,                0.97049,                0.98331,                0.98909,                0.74485,                0.92944,                0.32355,                 1.0048,               0.008317,               0.008317,               0.008317
                     87,                0.80859,                0.35036,                0.94127,                0.97217,                0.98582,                0.98886,                0.74006,                0.93563,                0.32521,                  1.021,              0.0082972,              0.0082972,              0.0082972
                     88,                0.80551,                0.34916,                0.93933,                0.96944,                0.98761,                0.98937,                0.74141,                0.93263,                0.32257,                 1.0014,              0.0082774,              0.0082774,              0.0082774
                     89,                0.80141,                0.34647,                0.93472,                0.96683,                0.98662,                0.98926,                0.74012,                0.93588,                0.31854,                0.98947,              0.0082576,              0.0082576,              0.0082576
                     90,                0.80339,                0.34369,                0.93627,                0.96579,                0.98003,                0.98512,                0.73843,                0.93715,                0.32132,                0.99738,              0.0082378,              0.0082378,              0.0082378
                     91,                0.80484,                0.34284,                 0.9371,                 0.9659,                0.98373,                0.98806,                0.74153,                0.93724,                0.32278,                0.99382,               0.008218,               0.008218,               0.008218
